Guide ID,Guide Name,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,Total
42418,Arts and Humanities - Internet Resources,39,17,20,32,23,31,6,31,12,16,13,11,10,261
42537,Sociology,6,3,1,12,50,36,52,5,26,36,18,13,3,261
42407,Library Research Tips & Tricks,8,16,19,24,34,12,11,36,30,21,22,11,14,258
42509,Peace and Nonviolence,18,16,24,22,24,35,10,28,23,21,10,12,12,255
42529,Journalism Research,6,22,13,24,19,24,17,19,17,24,36,23,2,246
1142946,The First Next Step: Research and Writing for Librarians,47,9,8,20,15,16,20,21,20,22,20,5,22,245
42558,CVE 497/498 and Graduate Students,14,15,9,20,8,19,22,26,18,46,16,17,11,241
1067272,Just for Fun,8,16,3,21,53,8,1,15,11,25,67,11,0,239
42376,Nursing Resources,19,12,7,14,27,16,10,13,47,14,33,18,7,237
42515,"Mechanical, Industrial, and Systems Engineering Resources",26,20,17,36,12,17,15,20,30,11,19,11,0,234
42472,Film Media Studies,19,21,12,7,8,15,11,5,34,42,29,20,8,231
42460,Criminal Justice,11,18,40,21,25,24,30,21,16,17,2,0,2,227
42432,Pharmacy: Drug Information Sources,32,25,10,13,11,25,17,22,23,14,8,18,8,226
42488,HDF (Human Development and Family Studies),1,0,3,3,20,39,34,4,26,41,32,3,10,216
42564,LIB Basics: Introduction to Articles and Periodicals,2,8,18,37,13,32,6,12,10,28,13,6,29,214
977693,Neuroscience,12,13,5,23,18,10,12,22,17,13,34,18,15,212
42419,Social Sciences - Internet Resources,32,23,13,13,20,16,17,14,17,22,15,4,0,206
42523,Civil and Environmental Engineering Resources,15,9,11,15,15,12,12,25,33,32,21,5,0,205
1014078,Annotated Bibliographies: A Primer,21,2,5,19,36,12,14,16,12,17,17,20,5,196
42411,Fashion Merchandising,7,12,5,12,17,20,10,12,23,32,37,3,4,194
141606,Holocaust Research,3,4,4,9,15,7,37,21,18,33,31,6,5,193
42582,American Women: Historical Biographical Sources,9,18,18,26,19,5,4,3,48,24,3,2,9,188
1316623,URI Libraries Stressbusters,11,0,2,0,2,26,54,2,4,5,63,18,0,187
42352,Consumer Behavior,14,29,15,22,11,11,13,14,9,16,17,7,4,182
42563,LIB Basics: Quality of Information,10,28,9,17,13,18,7,12,11,19,9,8,6,167
822638,Citation Managers @ URI,9,10,7,21,24,16,10,10,18,18,7,12,3,165
42353,Holidays and Festivals,6,9,15,18,14,18,26,12,8,26,8,0,4,164
42428,Film and Movie Reviews,16,5,20,16,23,3,5,19,10,9,17,14,6,163
42545,Communication Studies,12,8,10,43,0,0,6,14,24,16,8,19,2,162
42373,Chemical Substances,8,5,4,14,20,31,6,7,9,27,12,8,2,153
42408,Women's Health,9,4,3,8,0,16,19,19,19,12,4,7,29,149
1367953,Genealogy Research Guide,49,4,7,4,11,8,7,3,6,23,5,18,4,149
42457,Rhode Island State Publications,19,22,9,11,4,5,3,14,15,21,16,5,3,147
42379,Evaluating Information,12,9,1,33,11,8,7,2,31,12,7,6,4,143
42566,LIB Basics: Monographic Information,11,16,5,11,15,10,9,6,27,11,4,6,10,141
42329,English Literature,4,0,0,4,14,13,4,41,15,18,0,4,18,135
42494,Animal and Veterinary Sciences,6,40,2,16,6,7,13,6,7,5,9,6,5,128
42362,Tracing a Bill,5,3,1,7,6,13,2,7,7,67,1,5,2,126
42562,LIB Basics: The Research Process,3,10,5,9,2,0,5,18,15,29,7,5,17,125
42520,Environmental Impact Assessment,10,6,5,5,21,9,9,7,23,25,1,1,2,124
42622,How to Find a Government Publication,10,9,5,4,50,3,10,0,7,11,5,4,6,124
42416,All Internet Resources by Title,25,28,1,3,7,2,0,3,6,31,17,0,0,123
42393,Government Organization,1,0,0,5,15,3,5,20,11,16,19,11,16,122
42414,"Government, Politics, and Law  - Internet Resources",1,1,7,1,22,1,0,19,2,31,30,2,4,121
144661,All Guides by Title,1,12,4,18,5,12,9,7,13,18,13,1,5,118
42357,Costume History,7,3,8,22,6,9,4,5,7,17,15,10,1,114
393272,"HIS 441 &amp; 495, Dr. Reumann",3,0,2,38,30,14,15,0,4,6,1,0,1,114
42464,Industry Information,9,17,12,9,12,9,5,4,7,12,11,5,1,113
42486,Mathematics Resources,9,4,13,4,12,6,6,11,7,26,6,4,3,111
1404357,Pressbooks,0,0,0,0,48,17,4,17,4,4,5,9,2,110
42504,Foreign Languages and Literatures,7,2,8,2,23,7,1,1,8,32,5,9,2,107
42422,Health Sciences - Internet Resources,11,1,2,12,4,19,8,2,16,5,14,2,6,102
42436,United States in 1860,3,2,17,10,8,5,7,8,6,23,3,7,3,102
42483,Computer Science,1,2,3,9,7,4,3,24,8,14,17,7,3,102
42328,Art Resources,2,2,4,9,5,7,3,12,10,25,9,8,5,101
42369,Textile Technology,15,3,4,20,8,2,7,9,14,10,1,6,0,99
1028059,Music,5,5,21,4,6,2,2,9,11,20,5,3,1,94
1128590,HathiTrust Digital Library,6,7,11,14,7,2,3,15,3,17,3,2,4,94
42325,American Literature,2,0,1,4,4,2,0,1,2,10,8,41,16,91
622711,"HIS 401 & 495, Dr. Ward",3,1,0,13,3,0,0,42,7,12,2,3,2,88
42363,Engineering Standards,1,15,0,7,8,26,0,7,14,7,1,1,0,87
42430,History: Finding General Primary Sources,0,3,3,27,24,6,1,2,6,8,4,1,2,87
42433,ENG 110,2,2,4,11,0,4,11,9,6,26,4,4,3,86
42500,Political Science,4,2,4,9,13,26,0,3,14,2,3,1,1,82
42426,Rhode Island and New England - Internet Resources,2,1,7,4,10,2,0,2,38,5,5,5,0,81
42403,Food Science,8,1,4,9,7,0,12,2,7,21,4,1,4,80
280883,Tips for Annotated Bibliographies,1,5,0,25,9,1,0,6,25,4,1,1,2,80
42327,Art History,1,2,10,4,2,10,13,0,26,10,1,0,0,79
42374,Aquaculture Information Sources,10,5,6,13,2,3,6,3,8,4,10,8,1,79
42514,Human Rights,3,3,0,4,2,3,2,6,4,25,19,1,4,76
927932,Researching After Graduation: Finding Quality Information After URI,9,8,5,11,5,2,1,15,5,6,8,1,0,76
42417,General & Reference - Internet Resources,8,5,3,3,4,11,3,6,4,7,1,20,0,75
42359,U.S. Congressional Serial Set,13,6,5,8,2,4,1,1,7,11,9,2,3,72
453803,TMD 402: Seminar,8,2,8,6,5,3,6,1,8,14,4,5,1,71
42470,Anthropology,2,1,0,4,3,8,4,6,5,6,7,16,7,69
42570,EGR 105,0,7,2,3,12,4,16,0,11,3,1,8,1,68
857954,MAF 651,1,2,1,4,3,2,4,3,3,15,9,8,10,65
42371,Federal Laws,3,1,4,6,3,2,4,8,8,13,9,2,0,63
847912,Kinesiology,0,1,4,4,2,0,1,0,16,8,6,17,4,63
1226941,Citizen Science,0,3,1,5,4,10,3,4,2,11,12,3,5,63
1457083,Music Resource Center,0,0,0,0,0,0,0,0,0,0,0,18,45,63
42339,AAF 356 / HIS 356: Black Urban History,3,0,0,7,5,1,4,6,12,9,11,2,0,60
42550,Africana Studies,8,3,1,6,1,3,14,4,6,5,2,4,2,59
799912,AAF 239: Leadership in the African Diaspora,3,3,5,5,8,4,1,5,2,18,3,0,2,59
834466,Health Studies,0,1,3,2,0,10,2,2,12,16,8,3,0,59
42330,Literary Criticism,0,1,0,0,2,0,0,0,4,16,1,14,20,58
42477,Spanish and Portuguese Language and Literature,15,0,1,5,5,5,2,1,5,8,8,3,0,58
152455,"HIS 142 History of the United States Since 1877, Prof. DeCesare",5,8,0,14,8,4,4,1,1,8,4,1,0,58
42473,Tests and Measurements,2,2,0,2,2,11,6,0,6,7,16,1,2,57
42361,Economic Indicators,2,6,1,5,7,6,0,3,3,9,7,6,1,56
